#id1,id2

# https://fbref.com/en/squads/22a5a99c/Zurich-Stats

6115fddd,4a7a00f2

6115fddd,5c46e908

6115fddd,58a3a572

6115fddd,1ac58ba6

6115fddd,8d7323e8

6115fddd,07f8bcc8

6115fddd,f893dba4

6115fddd,c284d6fb

6115fddd,756959aa

6115fddd,2249e65b

6115fddd,9c4f39b3

6115fddd,0f6e3474

6115fddd,75fdd638

6115fddd,32523fce

6115fddd,ac4961c8

6115fddd,2d3f7367

6115fddd,ef2ad14e

6115fddd,deee6467

6115fddd,16839b27

4a7a00f2,5c46e908

4a7a00f2,58a3a572

4a7a00f2,1ac58ba6

4a7a00f2,8d7323e8

4a7a00f2,07f8bcc8

4a7a00f2,f893dba4

4a7a00f2,c284d6fb

4a7a00f2,756959aa

4a7a00f2,2249e65b

4a7a00f2,9c4f39b3

4a7a00f2,0f6e3474

4a7a00f2,75fdd638

4a7a00f2,32523fce

4a7a00f2,ac4961c8

4a7a00f2,2d3f7367

4a7a00f2,ef2ad14e

4a7a00f2,deee6467

4a7a00f2,16839b27

5c46e908,58a3a572

5c46e908,1ac58ba6

5c46e908,8d7323e8

5c46e908,07f8bcc8

5c46e908,f893dba4

5c46e908,c284d6fb

5c46e908,756959aa

5c46e908,2249e65b

5c46e908,9c4f39b3

5c46e908,0f6e3474

5c46e908,75fdd638

5c46e908,32523fce

5c46e908,ac4961c8

5c46e908,2d3f7367

5c46e908,ef2ad14e

5c46e908,deee6467

5c46e908,16839b27

58a3a572,1ac58ba6

58a3a572,8d7323e8

58a3a572,07f8bcc8

58a3a572,f893dba4

58a3a572,c284d6fb

58a3a572,756959aa

58a3a572,2249e65b

58a3a572,9c4f39b3

58a3a572,0f6e3474

58a3a572,75fdd638

58a3a572,32523fce

58a3a572,ac4961c8

58a3a572,2d3f7367

58a3a572,ef2ad14e

58a3a572,deee6467

58a3a572,16839b27

1ac58ba6,8d7323e8

1ac58ba6,07f8bcc8

1ac58ba6,f893dba4

1ac58ba6,c284d6fb

1ac58ba6,756959aa

1ac58ba6,2249e65b

1ac58ba6,9c4f39b3

1ac58ba6,0f6e3474

1ac58ba6,75fdd638

1ac58ba6,32523fce

1ac58ba6,ac4961c8

1ac58ba6,2d3f7367

1ac58ba6,ef2ad14e

1ac58ba6,deee6467

1ac58ba6,16839b27

8d7323e8,07f8bcc8

8d7323e8,f893dba4

8d7323e8,c284d6fb

8d7323e8,756959aa

8d7323e8,2249e65b

8d7323e8,9c4f39b3

8d7323e8,0f6e3474

8d7323e8,75fdd638

8d7323e8,32523fce

8d7323e8,ac4961c8

8d7323e8,2d3f7367

8d7323e8,ef2ad14e

8d7323e8,deee6467

8d7323e8,16839b27

07f8bcc8,f893dba4

07f8bcc8,c284d6fb

07f8bcc8,756959aa

07f8bcc8,2249e65b

07f8bcc8,9c4f39b3

07f8bcc8,0f6e3474

07f8bcc8,75fdd638

07f8bcc8,32523fce

07f8bcc8,ac4961c8

07f8bcc8,2d3f7367

07f8bcc8,ef2ad14e

07f8bcc8,deee6467

07f8bcc8,16839b27

f893dba4,c284d6fb

f893dba4,756959aa

f893dba4,2249e65b

f893dba4,9c4f39b3

f893dba4,0f6e3474

f893dba4,75fdd638

f893dba4,32523fce

f893dba4,ac4961c8

f893dba4,2d3f7367

f893dba4,ef2ad14e

f893dba4,deee6467

f893dba4,16839b27

c284d6fb,756959aa

c284d6fb,2249e65b

c284d6fb,9c4f39b3

c284d6fb,0f6e3474

c284d6fb,75fdd638

c284d6fb,32523fce

c284d6fb,ac4961c8

c284d6fb,2d3f7367

c284d6fb,ef2ad14e

c284d6fb,deee6467

c284d6fb,16839b27

756959aa,2249e65b

756959aa,9c4f39b3

756959aa,0f6e3474

756959aa,75fdd638

756959aa,32523fce

756959aa,ac4961c8

756959aa,2d3f7367

756959aa,ef2ad14e

756959aa,deee6467

756959aa,16839b27

2249e65b,9c4f39b3

2249e65b,0f6e3474

2249e65b,75fdd638

2249e65b,32523fce

2249e65b,ac4961c8

2249e65b,2d3f7367

2249e65b,ef2ad14e

2249e65b,deee6467

2249e65b,16839b27

9c4f39b3,0f6e3474

9c4f39b3,75fdd638

9c4f39b3,32523fce

9c4f39b3,ac4961c8

9c4f39b3,2d3f7367

9c4f39b3,ef2ad14e

9c4f39b3,deee6467

9c4f39b3,16839b27

0f6e3474,75fdd638

0f6e3474,32523fce

0f6e3474,ac4961c8

0f6e3474,2d3f7367

0f6e3474,ef2ad14e

0f6e3474,deee6467

0f6e3474,16839b27

75fdd638,32523fce

75fdd638,ac4961c8

75fdd638,2d3f7367

75fdd638,ef2ad14e

75fdd638,deee6467

75fdd638,16839b27

32523fce,ac4961c8

32523fce,2d3f7367

32523fce,ef2ad14e

32523fce,deee6467

32523fce,16839b27

ac4961c8,2d3f7367

ac4961c8,ef2ad14e

ac4961c8,deee6467

ac4961c8,16839b27

2d3f7367,ef2ad14e

2d3f7367,deee6467

2d3f7367,16839b27

ef2ad14e,deee6467

ef2ad14e,16839b27

deee6467,16839b27

# https://fbref.com/en/squads/d3d9424a/Basel-Stats

0bfaa3b2,f18d7ab2

0bfaa3b2,9fb640a8

0bfaa3b2,8e697a8f

0bfaa3b2,939f02ec

0bfaa3b2,983515f8

0bfaa3b2,ead14875

0bfaa3b2,6b85f966

0bfaa3b2,fc571dff

0bfaa3b2,7ff93107

0bfaa3b2,fc8c588f

0bfaa3b2,a820e429

0bfaa3b2,0dce3356

0bfaa3b2,864db10a

0bfaa3b2,90f3beec

0bfaa3b2,58a05c2e

0bfaa3b2,e27de4fa

0bfaa3b2,2c5a5ea4

0bfaa3b2,53e07d0b

0bfaa3b2,042d286e

0bfaa3b2,31c7bfaf

f18d7ab2,9fb640a8

f18d7ab2,8e697a8f

f18d7ab2,939f02ec

f18d7ab2,983515f8

f18d7ab2,ead14875

f18d7ab2,6b85f966

f18d7ab2,fc571dff

f18d7ab2,7ff93107

f18d7ab2,fc8c588f

f18d7ab2,a820e429

f18d7ab2,0dce3356

f18d7ab2,864db10a

f18d7ab2,90f3beec

f18d7ab2,58a05c2e

f18d7ab2,e27de4fa

f18d7ab2,2c5a5ea4

f18d7ab2,53e07d0b

f18d7ab2,042d286e

f18d7ab2,31c7bfaf

9fb640a8,8e697a8f

9fb640a8,939f02ec

9fb640a8,983515f8

9fb640a8,ead14875

9fb640a8,6b85f966

9fb640a8,fc571dff

9fb640a8,7ff93107

9fb640a8,fc8c588f

9fb640a8,a820e429

9fb640a8,0dce3356

9fb640a8,864db10a

9fb640a8,90f3beec

9fb640a8,58a05c2e

9fb640a8,e27de4fa

9fb640a8,2c5a5ea4

9fb640a8,53e07d0b

9fb640a8,042d286e

9fb640a8,31c7bfaf

8e697a8f,939f02ec

8e697a8f,983515f8

8e697a8f,ead14875

8e697a8f,6b85f966

8e697a8f,fc571dff

8e697a8f,7ff93107

8e697a8f,fc8c588f

8e697a8f,a820e429

8e697a8f,0dce3356

8e697a8f,864db10a

8e697a8f,90f3beec

8e697a8f,58a05c2e

8e697a8f,e27de4fa

8e697a8f,2c5a5ea4

8e697a8f,53e07d0b

8e697a8f,042d286e

8e697a8f,31c7bfaf

939f02ec,983515f8

939f02ec,ead14875

939f02ec,6b85f966

939f02ec,fc571dff

939f02ec,7ff93107

939f02ec,fc8c588f

939f02ec,a820e429

939f02ec,0dce3356

939f02ec,864db10a

939f02ec,90f3beec

939f02ec,58a05c2e

939f02ec,e27de4fa

939f02ec,2c5a5ea4

939f02ec,53e07d0b

939f02ec,042d286e

939f02ec,31c7bfaf

983515f8,ead14875

983515f8,6b85f966

983515f8,fc571dff

983515f8,7ff93107

983515f8,fc8c588f

983515f8,a820e429

983515f8,0dce3356

983515f8,864db10a

983515f8,90f3beec

983515f8,58a05c2e

983515f8,e27de4fa

983515f8,2c5a5ea4

983515f8,53e07d0b

983515f8,042d286e

983515f8,31c7bfaf

ead14875,6b85f966

ead14875,fc571dff

ead14875,7ff93107

ead14875,fc8c588f

ead14875,a820e429

ead14875,0dce3356

ead14875,864db10a

ead14875,90f3beec

ead14875,58a05c2e

ead14875,e27de4fa

ead14875,2c5a5ea4

ead14875,53e07d0b

ead14875,042d286e

ead14875,31c7bfaf

6b85f966,fc571dff

6b85f966,7ff93107

6b85f966,fc8c588f

6b85f966,a820e429

6b85f966,0dce3356

6b85f966,864db10a

6b85f966,90f3beec

6b85f966,58a05c2e

6b85f966,e27de4fa

6b85f966,2c5a5ea4

6b85f966,53e07d0b

6b85f966,042d286e

6b85f966,31c7bfaf

fc571dff,7ff93107

fc571dff,fc8c588f

fc571dff,a820e429

fc571dff,0dce3356

fc571dff,864db10a

fc571dff,90f3beec

fc571dff,58a05c2e

fc571dff,e27de4fa

fc571dff,2c5a5ea4

fc571dff,53e07d0b

fc571dff,042d286e

fc571dff,31c7bfaf

7ff93107,fc8c588f

7ff93107,a820e429

7ff93107,0dce3356

7ff93107,864db10a

7ff93107,90f3beec

7ff93107,58a05c2e

7ff93107,e27de4fa

7ff93107,2c5a5ea4

7ff93107,53e07d0b

7ff93107,042d286e

7ff93107,31c7bfaf

fc8c588f,a820e429

fc8c588f,0dce3356

fc8c588f,864db10a

fc8c588f,90f3beec

fc8c588f,58a05c2e

fc8c588f,e27de4fa

fc8c588f,2c5a5ea4

fc8c588f,53e07d0b

fc8c588f,042d286e

fc8c588f,31c7bfaf

a820e429,0dce3356

a820e429,864db10a

a820e429,90f3beec

a820e429,58a05c2e

a820e429,e27de4fa

a820e429,2c5a5ea4

a820e429,53e07d0b

a820e429,042d286e

a820e429,31c7bfaf

0dce3356,864db10a

0dce3356,90f3beec

0dce3356,58a05c2e

0dce3356,e27de4fa

0dce3356,2c5a5ea4

0dce3356,53e07d0b

0dce3356,042d286e

0dce3356,31c7bfaf

864db10a,90f3beec

864db10a,58a05c2e

864db10a,e27de4fa

864db10a,2c5a5ea4

864db10a,53e07d0b

864db10a,042d286e

864db10a,31c7bfaf

90f3beec,58a05c2e

90f3beec,e27de4fa

90f3beec,2c5a5ea4

90f3beec,53e07d0b

90f3beec,042d286e

90f3beec,31c7bfaf

58a05c2e,e27de4fa

58a05c2e,2c5a5ea4

58a05c2e,53e07d0b

58a05c2e,042d286e

58a05c2e,31c7bfaf

e27de4fa,2c5a5ea4

e27de4fa,53e07d0b

e27de4fa,042d286e

e27de4fa,31c7bfaf

2c5a5ea4,53e07d0b

2c5a5ea4,042d286e

2c5a5ea4,31c7bfaf

53e07d0b,042d286e

53e07d0b,31c7bfaf

042d286e,31c7bfaf

# https://fbref.com/en/squads/4b682260/Young-Boys-Stats

b684a484,0193a8bf

b684a484,6a829019

b684a484,5d51b074

b684a484,c952f633

b684a484,f7b10c66

b684a484,c2bd8585

b684a484,2bab583c

b684a484,92ffb8f9

b684a484,6c330f30

b684a484,24fc70d3

b684a484,a63a995f

b684a484,b4c816a9

b684a484,0aeeed3f

b684a484,0e96a5e1

b684a484,c3e4ecbb

b684a484,f9c927de

b684a484,f8342731

b684a484,3bb625ac

b684a484,1b81794d

b684a484,c8ccc39e

b684a484,615c4d8f

0193a8bf,6a829019

0193a8bf,5d51b074

0193a8bf,c952f633

0193a8bf,f7b10c66

0193a8bf,c2bd8585

0193a8bf,2bab583c

0193a8bf,92ffb8f9

0193a8bf,6c330f30

0193a8bf,24fc70d3

0193a8bf,a63a995f

0193a8bf,b4c816a9

0193a8bf,0aeeed3f

0193a8bf,0e96a5e1

0193a8bf,c3e4ecbb

0193a8bf,f9c927de

0193a8bf,f8342731

0193a8bf,3bb625ac

0193a8bf,1b81794d

0193a8bf,c8ccc39e

0193a8bf,615c4d8f

6a829019,5d51b074

6a829019,c952f633

6a829019,f7b10c66

6a829019,c2bd8585

6a829019,2bab583c

6a829019,92ffb8f9

6a829019,6c330f30

6a829019,24fc70d3

6a829019,a63a995f

6a829019,b4c816a9

6a829019,0aeeed3f

6a829019,0e96a5e1

6a829019,c3e4ecbb

6a829019,f9c927de

6a829019,f8342731

6a829019,3bb625ac

6a829019,1b81794d

6a829019,c8ccc39e

6a829019,615c4d8f

5d51b074,c952f633

5d51b074,f7b10c66

5d51b074,c2bd8585

5d51b074,2bab583c

5d51b074,92ffb8f9

5d51b074,6c330f30

5d51b074,24fc70d3

5d51b074,a63a995f

5d51b074,b4c816a9

5d51b074,0aeeed3f

5d51b074,0e96a5e1

5d51b074,c3e4ecbb

5d51b074,f9c927de

5d51b074,f8342731

5d51b074,3bb625ac

5d51b074,1b81794d

5d51b074,c8ccc39e

5d51b074,615c4d8f

c952f633,f7b10c66

c952f633,c2bd8585

c952f633,2bab583c

c952f633,92ffb8f9

c952f633,6c330f30

c952f633,24fc70d3

c952f633,a63a995f

c952f633,b4c816a9

c952f633,0aeeed3f

c952f633,0e96a5e1

c952f633,c3e4ecbb

c952f633,f9c927de

c952f633,f8342731

c952f633,3bb625ac

c952f633,1b81794d

c952f633,c8ccc39e

c952f633,615c4d8f

f7b10c66,c2bd8585

f7b10c66,2bab583c

f7b10c66,92ffb8f9

f7b10c66,6c330f30

f7b10c66,24fc70d3

f7b10c66,a63a995f

f7b10c66,b4c816a9

f7b10c66,0aeeed3f

f7b10c66,0e96a5e1

f7b10c66,c3e4ecbb

f7b10c66,f9c927de

f7b10c66,f8342731

f7b10c66,3bb625ac

f7b10c66,1b81794d

f7b10c66,c8ccc39e

f7b10c66,615c4d8f

c2bd8585,2bab583c

c2bd8585,92ffb8f9

c2bd8585,6c330f30

c2bd8585,24fc70d3

c2bd8585,a63a995f

c2bd8585,b4c816a9

c2bd8585,0aeeed3f

c2bd8585,0e96a5e1

c2bd8585,c3e4ecbb

c2bd8585,f9c927de

c2bd8585,f8342731

c2bd8585,3bb625ac

c2bd8585,1b81794d

c2bd8585,c8ccc39e

c2bd8585,615c4d8f

2bab583c,92ffb8f9

2bab583c,6c330f30

2bab583c,24fc70d3

2bab583c,a63a995f

2bab583c,b4c816a9

2bab583c,0aeeed3f

2bab583c,0e96a5e1

2bab583c,c3e4ecbb

2bab583c,f9c927de

2bab583c,f8342731

2bab583c,3bb625ac

2bab583c,1b81794d

2bab583c,c8ccc39e

2bab583c,615c4d8f

92ffb8f9,6c330f30

92ffb8f9,24fc70d3

92ffb8f9,a63a995f

92ffb8f9,b4c816a9

92ffb8f9,0aeeed3f

92ffb8f9,0e96a5e1

92ffb8f9,c3e4ecbb

92ffb8f9,f9c927de

92ffb8f9,f8342731

92ffb8f9,3bb625ac

92ffb8f9,1b81794d

92ffb8f9,c8ccc39e

92ffb8f9,615c4d8f

6c330f30,24fc70d3

6c330f30,a63a995f

6c330f30,b4c816a9

6c330f30,0aeeed3f

6c330f30,0e96a5e1

6c330f30,c3e4ecbb

6c330f30,f9c927de

6c330f30,f8342731

6c330f30,3bb625ac

6c330f30,1b81794d

6c330f30,c8ccc39e

6c330f30,615c4d8f

24fc70d3,a63a995f

24fc70d3,b4c816a9

24fc70d3,0aeeed3f

24fc70d3,0e96a5e1

24fc70d3,c3e4ecbb

24fc70d3,f9c927de

24fc70d3,f8342731

24fc70d3,3bb625ac

24fc70d3,1b81794d

24fc70d3,c8ccc39e

24fc70d3,615c4d8f

a63a995f,b4c816a9

a63a995f,0aeeed3f

a63a995f,0e96a5e1

a63a995f,c3e4ecbb

a63a995f,f9c927de

a63a995f,f8342731

a63a995f,3bb625ac

a63a995f,1b81794d

a63a995f,c8ccc39e

a63a995f,615c4d8f

b4c816a9,0aeeed3f

b4c816a9,0e96a5e1

b4c816a9,c3e4ecbb

b4c816a9,f9c927de

b4c816a9,f8342731

b4c816a9,3bb625ac

b4c816a9,1b81794d

b4c816a9,c8ccc39e

b4c816a9,615c4d8f

0aeeed3f,0e96a5e1

0aeeed3f,c3e4ecbb

0aeeed3f,f9c927de

0aeeed3f,f8342731

0aeeed3f,3bb625ac

0aeeed3f,1b81794d

0aeeed3f,c8ccc39e

0aeeed3f,615c4d8f

0e96a5e1,c3e4ecbb

0e96a5e1,f9c927de

0e96a5e1,f8342731

0e96a5e1,3bb625ac

0e96a5e1,1b81794d

0e96a5e1,c8ccc39e

0e96a5e1,615c4d8f

c3e4ecbb,f9c927de

c3e4ecbb,f8342731

c3e4ecbb,3bb625ac

c3e4ecbb,1b81794d

c3e4ecbb,c8ccc39e

c3e4ecbb,615c4d8f

f9c927de,f8342731

f9c927de,3bb625ac

f9c927de,1b81794d

f9c927de,c8ccc39e

f9c927de,615c4d8f

f8342731,3bb625ac

f8342731,1b81794d

f8342731,c8ccc39e

f8342731,615c4d8f

3bb625ac,1b81794d

3bb625ac,c8ccc39e

3bb625ac,615c4d8f

1b81794d,c8ccc39e

1b81794d,615c4d8f

c8ccc39e,615c4d8f

# https://fbref.com/en/squads/4dcf77da/Lugano-Stats

ea7a8366,4b2ad4b1

ea7a8366,facb3c57

ea7a8366,966eea58

ea7a8366,6bff8a73

ea7a8366,2f8e326a

ea7a8366,cd0ecf81

ea7a8366,868c6958

ea7a8366,5f51b70f

ea7a8366,31a608af

ea7a8366,2eddc8ea

ea7a8366,8bbf17da

ea7a8366,90573602

ea7a8366,f6edb4c2

ea7a8366,82318d24

ea7a8366,aee414b1

ea7a8366,6597f8b6

ea7a8366,e4180586

ea7a8366,77c0565a

ea7a8366,bb8099ee

ea7a8366,b635c249

ea7a8366,081048c2

4b2ad4b1,facb3c57

4b2ad4b1,966eea58

4b2ad4b1,6bff8a73

4b2ad4b1,2f8e326a

4b2ad4b1,cd0ecf81

4b2ad4b1,868c6958

4b2ad4b1,5f51b70f

4b2ad4b1,31a608af

4b2ad4b1,2eddc8ea

4b2ad4b1,8bbf17da

4b2ad4b1,90573602

4b2ad4b1,f6edb4c2

4b2ad4b1,82318d24

4b2ad4b1,aee414b1

4b2ad4b1,6597f8b6

4b2ad4b1,e4180586

4b2ad4b1,77c0565a

4b2ad4b1,bb8099ee

4b2ad4b1,b635c249

4b2ad4b1,081048c2

facb3c57,966eea58

facb3c57,6bff8a73

facb3c57,2f8e326a

facb3c57,cd0ecf81

facb3c57,868c6958

facb3c57,5f51b70f

facb3c57,31a608af

facb3c57,2eddc8ea

facb3c57,8bbf17da

facb3c57,90573602

facb3c57,f6edb4c2

facb3c57,82318d24

facb3c57,aee414b1

facb3c57,6597f8b6

facb3c57,e4180586

facb3c57,77c0565a

facb3c57,bb8099ee

facb3c57,b635c249

facb3c57,081048c2

966eea58,6bff8a73

966eea58,2f8e326a

966eea58,cd0ecf81

966eea58,868c6958

966eea58,5f51b70f

966eea58,31a608af

966eea58,2eddc8ea

966eea58,8bbf17da

966eea58,90573602

966eea58,f6edb4c2

966eea58,82318d24

966eea58,aee414b1

966eea58,6597f8b6

966eea58,e4180586

966eea58,77c0565a

966eea58,bb8099ee

966eea58,b635c249

966eea58,081048c2

6bff8a73,2f8e326a

6bff8a73,cd0ecf81

6bff8a73,868c6958

6bff8a73,5f51b70f

6bff8a73,31a608af

6bff8a73,2eddc8ea

6bff8a73,8bbf17da

6bff8a73,90573602

6bff8a73,f6edb4c2

6bff8a73,82318d24

6bff8a73,aee414b1

6bff8a73,6597f8b6

6bff8a73,e4180586

6bff8a73,77c0565a

6bff8a73,bb8099ee

6bff8a73,b635c249

6bff8a73,081048c2

2f8e326a,cd0ecf81

2f8e326a,868c6958

2f8e326a,5f51b70f

2f8e326a,31a608af

2f8e326a,2eddc8ea

2f8e326a,8bbf17da

2f8e326a,90573602

2f8e326a,f6edb4c2

2f8e326a,82318d24

2f8e326a,aee414b1

2f8e326a,6597f8b6

2f8e326a,e4180586

2f8e326a,77c0565a

2f8e326a,bb8099ee

2f8e326a,b635c249

2f8e326a,081048c2

cd0ecf81,868c6958

cd0ecf81,5f51b70f

cd0ecf81,31a608af

cd0ecf81,2eddc8ea

cd0ecf81,8bbf17da

cd0ecf81,90573602

cd0ecf81,f6edb4c2

cd0ecf81,82318d24

cd0ecf81,aee414b1

cd0ecf81,6597f8b6

cd0ecf81,e4180586

cd0ecf81,77c0565a

cd0ecf81,bb8099ee

cd0ecf81,b635c249

cd0ecf81,081048c2

868c6958,5f51b70f

868c6958,31a608af

868c6958,2eddc8ea

868c6958,8bbf17da

868c6958,90573602

868c6958,f6edb4c2

868c6958,82318d24

868c6958,aee414b1

868c6958,6597f8b6

868c6958,e4180586

868c6958,77c0565a

868c6958,bb8099ee

868c6958,b635c249

868c6958,081048c2

5f51b70f,31a608af

5f51b70f,2eddc8ea

5f51b70f,8bbf17da

5f51b70f,90573602

5f51b70f,f6edb4c2

5f51b70f,82318d24

5f51b70f,aee414b1

5f51b70f,6597f8b6

5f51b70f,e4180586

5f51b70f,77c0565a

5f51b70f,bb8099ee

5f51b70f,b635c249

5f51b70f,081048c2

31a608af,2eddc8ea

31a608af,8bbf17da

31a608af,90573602

31a608af,f6edb4c2

31a608af,82318d24

31a608af,aee414b1

31a608af,6597f8b6

31a608af,e4180586

31a608af,77c0565a

31a608af,bb8099ee

31a608af,b635c249

31a608af,081048c2

2eddc8ea,8bbf17da

2eddc8ea,90573602

2eddc8ea,f6edb4c2

2eddc8ea,82318d24

2eddc8ea,aee414b1

2eddc8ea,6597f8b6

2eddc8ea,e4180586

2eddc8ea,77c0565a

2eddc8ea,bb8099ee

2eddc8ea,b635c249

2eddc8ea,081048c2

8bbf17da,90573602

8bbf17da,f6edb4c2

8bbf17da,82318d24

8bbf17da,aee414b1

8bbf17da,6597f8b6

8bbf17da,e4180586

8bbf17da,77c0565a

8bbf17da,bb8099ee

8bbf17da,b635c249

8bbf17da,081048c2

90573602,f6edb4c2

90573602,82318d24

90573602,aee414b1

90573602,6597f8b6

90573602,e4180586

90573602,77c0565a

90573602,bb8099ee

90573602,b635c249

90573602,081048c2

f6edb4c2,82318d24

f6edb4c2,aee414b1

f6edb4c2,6597f8b6

f6edb4c2,e4180586

f6edb4c2,77c0565a

f6edb4c2,bb8099ee

f6edb4c2,b635c249

f6edb4c2,081048c2

82318d24,aee414b1

82318d24,6597f8b6

82318d24,e4180586

82318d24,77c0565a

82318d24,bb8099ee

82318d24,b635c249

82318d24,081048c2

aee414b1,6597f8b6

aee414b1,e4180586

aee414b1,77c0565a

aee414b1,bb8099ee

aee414b1,b635c249

aee414b1,081048c2

6597f8b6,e4180586

6597f8b6,77c0565a

6597f8b6,bb8099ee

6597f8b6,b635c249

6597f8b6,081048c2

e4180586,77c0565a

e4180586,bb8099ee

e4180586,b635c249

e4180586,081048c2

77c0565a,bb8099ee

77c0565a,b635c249

77c0565a,081048c2

bb8099ee,b635c249

bb8099ee,081048c2

b635c249,081048c2

# https://fbref.com/en/squads/cdaf4e6d/St-Gallen-Stats

a12402c3,98895d40

a12402c3,08391d76

a12402c3,a59123ef

a12402c3,66089708

a12402c3,be0bdd43

a12402c3,f8b9b94d

a12402c3,8d5d4b89

a12402c3,8f101472

a12402c3,698b37b8

a12402c3,e3a17b18

a12402c3,b50e5157

a12402c3,60cd1adc

a12402c3,36cf2caf

a12402c3,041961de

a12402c3,b9334454

a12402c3,b355585f

a12402c3,f36dc0a4

a12402c3,60fd244f

a12402c3,fc796724

a12402c3,8321285a

a12402c3,7c39363f

a12402c3,192e9592

98895d40,08391d76

98895d40,a59123ef

98895d40,66089708

98895d40,be0bdd43

98895d40,f8b9b94d

98895d40,8d5d4b89

98895d40,8f101472

98895d40,698b37b8

98895d40,e3a17b18

98895d40,b50e5157

98895d40,60cd1adc

98895d40,36cf2caf

98895d40,041961de

98895d40,b9334454

98895d40,b355585f

98895d40,f36dc0a4

98895d40,60fd244f

98895d40,fc796724

98895d40,8321285a

98895d40,7c39363f

98895d40,192e9592

08391d76,a59123ef

08391d76,66089708

08391d76,be0bdd43

08391d76,f8b9b94d

08391d76,8d5d4b89

08391d76,8f101472

08391d76,698b37b8

08391d76,e3a17b18

08391d76,b50e5157

08391d76,60cd1adc

08391d76,36cf2caf

08391d76,041961de

08391d76,b9334454

08391d76,b355585f

08391d76,f36dc0a4

08391d76,60fd244f

08391d76,fc796724

08391d76,8321285a

08391d76,7c39363f

08391d76,192e9592

a59123ef,66089708

a59123ef,be0bdd43

a59123ef,f8b9b94d

a59123ef,8d5d4b89

a59123ef,8f101472

a59123ef,698b37b8

a59123ef,e3a17b18

a59123ef,b50e5157

a59123ef,60cd1adc

a59123ef,36cf2caf

a59123ef,041961de

a59123ef,b9334454

a59123ef,b355585f

a59123ef,f36dc0a4

a59123ef,60fd244f

a59123ef,fc796724

a59123ef,8321285a

a59123ef,7c39363f

a59123ef,192e9592

66089708,be0bdd43

66089708,f8b9b94d

66089708,8d5d4b89

66089708,8f101472

66089708,698b37b8

66089708,e3a17b18

66089708,b50e5157

66089708,60cd1adc

66089708,36cf2caf

66089708,041961de

66089708,b9334454

66089708,b355585f

66089708,f36dc0a4

66089708,60fd244f

66089708,fc796724

66089708,8321285a

66089708,7c39363f

66089708,192e9592

be0bdd43,f8b9b94d

be0bdd43,8d5d4b89

be0bdd43,8f101472

be0bdd43,698b37b8

be0bdd43,e3a17b18

be0bdd43,b50e5157

be0bdd43,60cd1adc

be0bdd43,36cf2caf

be0bdd43,041961de

be0bdd43,b9334454

be0bdd43,b355585f

be0bdd43,f36dc0a4

be0bdd43,60fd244f

be0bdd43,fc796724

be0bdd43,8321285a

be0bdd43,7c39363f

be0bdd43,192e9592

f8b9b94d,8d5d4b89

f8b9b94d,8f101472

f8b9b94d,698b37b8

f8b9b94d,e3a17b18

